items_str,freq,support_percentage
服装,58384244,56.9
食品,58107077,56.63
电子产品,58066530,56.59
家居,31074264,30.28
"食品, 服装",30051542,29.29
"电子产品, 服装",30029034,29.26
"电子产品, 食品",29871534,29.11
玩具,24896195,24.26
办公,17080432,16.65
母婴,16843387,16.41
运动户外,16615722,16.19
汽车用品,16385866,15.97
"家居, 服装",15416071,15.02
"家居, 食品",15338326,14.95
"家居, 电子产品",15319611,14.93
"电子产品, 食品, 服装",13360078,13.02
"玩具, 服装",12270032,11.96
"玩具, 食品",12195560,11.88
"玩具, 电子产品",12191391,11.88
"办公, 服装",8351080,8.14
"办公, 食品",8305001,8.09
"办公, 电子产品",8297174,8.09
"母婴, 服装",8232270,8.02
"母婴, 电子产品",8183811,7.98
"母婴, 食品",8183038,7.97
"运动户外, 服装",8123189,7.92
"运动户外, 食品",8075093,7.87
"运动户外, 电子产品",8066465,7.86
"汽车用品, 服装",8005260,7.8
"汽车用品, 食品",7961055,7.76
"汽车用品, 电子产品",7954110,7.75
"家居, 食品, 服装",6691729,6.52
"家居, 电子产品, 服装",6682400,6.51
"家居, 电子产品, 食品",6646710,6.48
"玩具, 家居",6226182,6.07
"玩具, 电子产品, 服装",5292566,5.16
"玩具, 食品, 服装",5290743,5.16
"玩具, 电子产品, 食品",5260405,5.13
"办公, 家居",4233981,4.13
"母婴, 家居",4170664,4.06
"运动户外, 家居",4113522,4.01
"汽车用品, 家居",4057156,3.95
"办公, 食品, 服装",3583034,3.49
"办公, 电子产品, 服装",3579603,3.49
"办公, 电子产品, 食品",3558649,3.47
"母婴, 电子产品, 服装",3530563,3.44
"母婴, 食品, 服装",3528156,3.44
"母婴, 电子产品, 食品",3506618,3.42
"运动户外, 食品, 服装",3483625,3.39
"运动户外, 电子产品, 服装",3478622,3.39
"运动户外, 电子产品, 食品",3458719,3.37
"汽车用品, 食品, 服装",3434297,3.35
"汽车用品, 电子产品, 服装",3428932,3.34
"汽车用品, 电子产品, 食品",3408953,3.32
"办公, 玩具",3365092,3.28
"母婴, 玩具",3315953,3.23
"运动户外, 玩具",3270733,3.19
"汽车用品, 玩具",3222681,3.14
"玩具, 家居, 服装",2632519,2.57
"玩具, 家居, 食品",2615948,2.55
"玩具, 家居, 电子产品",2612984,2.55
"家居, 电子产品, 食品, 服装",2499652,2.44
"母婴, 办公",2256183,2.2
"运动户外, 办公",2220521,2.16
"汽车用品, 办公",2194168,2.14
"运动户外, 母婴",2192354,2.14
"汽车用品, 母婴",2162456,2.11
"汽车用品, 运动户外",2129882,2.08
